               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.019877,             0.01137,          0.00081436,             0.94999,             0.99975,              0.9925,             0.87254,            0.019373,           0.0034383,          0.00062084,            0.003994,            0.003994,            0.003994
                  93,            0.019259,             0.01148,          0.00091213,              0.9499,             0.99803,              0.9925,             0.89216,            0.016742,           0.0035331,          0.00063397,            0.003928,            0.003928,            0.003928
                  94,            0.019382,            0.010887,          0.00075266,             0.94756,                   1,              0.9925,             0.84538,            0.019032,           0.0037373,          0.00064412,            0.003862,            0.003862,            0.003862
                  95,            0.018801,            0.012046,            0.001022,                   1,             0.94402,             0.98818,             0.86885,            0.015217,           0.0035818,           0.0006465,            0.003796,            0.003796,            0.003796
                  96,            0.018988,            0.011878,          0.00079194,             0.99094,             0.94737,             0.98818,               0.829,            0.019305,           0.0037062,           0.0006345,             0.00373,             0.00373,             0.00373
                  97,            0.019296,            0.011657,          0.00083186,             0.98992,             0.94737,             0.98818,             0.86182,            0.016272,            0.003757,           0.0006315,            0.003664,            0.003664,            0.003664
                  98,            0.019027,             0.01213,          0.00078292,             0.98835,             0.94737,             0.98818,             0.84643,            0.020297,            0.003804,          0.00063246,            0.003598,            0.003598,            0.003598
                  99,            0.018229,            0.010684,          0.00072976,             0.99825,             0.94737,             0.98818,             0.85721,            0.015286,           0.0037518,          0.00062449,            0.003532,            0.003532,            0.003532
                 100,            0.019135,            0.011719,          0.00075543,             0.94982,             0.99642,              0.9925,             0.85704,            0.017184,           0.0035157,          0.00062817,            0.003466,            0.003466,            0.003466
                 101,            0.018435,            0.011275,          0.00071592,             0.94991,             0.99818,              0.9925,             0.86075,            0.018411,           0.0033634,          0.00061276,              0.0034,              0.0034,              0.0034
                 102,            0.017914,            0.011855,          0.00068657,             0.94517,                   1,                0.99,             0.86485,            0.018158,           0.0033618,          0.00059888,            0.003334,            0.003334,            0.003334
                 103,             0.01751,            0.011515,          0.00087098,             0.94748,                   1,                0.99,             0.86634,            0.016311,           0.0034976,          0.00059263,            0.003268,            0.003268,            0.003268
                 104,            0.017993,            0.011082,            0.001204,             0.94333,                   1,                0.99,             0.87524,            0.017499,           0.0034894,          0.00059348,            0.003202,            0.003202,            0.003202
                 105,            0.017632,            0.011366,          0.00069484,             0.94624,                   1,                0.99,             0.89291,            0.015381,           0.0034082,          0.00059044,            0.003136,            0.003136,            0.003136
                 106,            0.018148,            0.011188,          0.00066266,             0.94381,                   1,              0.9925,             0.89098,            0.017728,           0.0033152,          0.00057957,             0.00307,             0.00307,             0.00307
                 107,             0.01703,            0.010479,          0.00067818,                   1,             0.99773,               0.995,             0.87958,            0.015678,           0.0030637,          0.00056205,            0.003004,            0.003004,            0.003004
