               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.012664,           0.0048594,          0.00047421,             0.93606,             0.63142,             0.66694,               0.614,            0.010294,           0.0023969,           0.0015573,            0.001387,            0.001387,            0.001387
                  89,            0.012341,           0.0048433,          0.00040272,             0.93775,             0.62971,             0.65882,              0.6047,            0.010259,           0.0023819,           0.0015556,            0.001288,            0.001288,            0.001288
                  90,            0.012506,           0.0048825,          0.00040954,              0.9418,             0.62819,             0.65686,             0.60341,            0.010287,           0.0023804,           0.0015523,            0.001189,            0.001189,            0.001189
                  91,            0.012226,           0.0047811,          0.00040839,              0.9349,             0.63968,              0.6571,             0.60369,            0.010279,           0.0023788,           0.0015703,             0.00109,             0.00109,             0.00109
                  92,            0.012141,           0.0046903,           0.0004048,             0.93425,              0.6425,               0.658,             0.60533,            0.010251,           0.0023828,           0.0016381,            0.000991,            0.000991,            0.000991
                  93,            0.012154,           0.0048259,          0.00035206,             0.93065,             0.64371,             0.65786,             0.60715,            0.010271,           0.0023944,           0.0017156,            0.000892,            0.000892,            0.000892
                  94,            0.011991,           0.0047261,          0.00044403,             0.93673,             0.62871,              0.6571,             0.60328,            0.010318,           0.0024005,           0.0017888,            0.000793,            0.000793,            0.000793
                  95,            0.011854,           0.0046931,          0.00034148,             0.93687,             0.62882,             0.65837,             0.60625,              0.0103,           0.0023915,           0.0017441,            0.000694,            0.000694,            0.000694
                  96,            0.011904,           0.0046098,          0.00035355,             0.93662,             0.63312,              0.6584,             0.61091,            0.010255,           0.0023805,           0.0017175,            0.000595,            0.000595,            0.000595
                  97,            0.011863,           0.0046938,          0.00027716,             0.93938,             0.63051,             0.65809,             0.60803,            0.010248,           0.0023761,           0.0017156,            0.000496,            0.000496,            0.000496
                  98,            0.011838,           0.0047087,          0.00037788,             0.93692,             0.63267,             0.65793,             0.60678,            0.010249,           0.0023757,           0.0017458,            0.000397,            0.000397,            0.000397
                  99,             0.01175,           0.0046974,          0.00043392,             0.93656,             0.63316,             0.65792,              0.6064,            0.010233,            0.002369,           0.0017459,            0.000298,            0.000298,            0.000298
